Restaurant_Name,Location,Cuisine,Rating,Address,Map
Jackson's Fried Chicken - Banani,Banani,Fried Chicken,3/5,"Jackson's Fried Chicken - Banani,banani",https://maps.app.goo.gl/sJja14giiFwSQYs66
House of Tehari,Banani,Biryani,4.4/5,"House of Tehari,banani",https://maps.app.goo.gl/Q9wS4Dkwyya3nQZR6
Cheez - Banani,Banani,Pizza,4.5/5,"Cheez - Banani,banani",https://maps.app.goo.gl/8NzJTXumJ8K9VMEz8
Tarka,Banani,Indian,3.8/5,"Tarka,banani",https://maps.app.goo.gl/UYQZfKxRDhry1srV7
Café Chino,Banani,Snacks,3.6/5,"Café Chino,banani",https://maps.app.goo.gl/gRvEVAgt9oJDtFiG9
Pizza Inn - Banani,Banani,Pizza,4.1/5,"Pizza Inn - Banani,banani",https://maps.app.goo.gl/cXTXZhCeTwPs7f7P8
Pan Tao,Banani,Chinese,4/5,"Pan Tao,banani",https://maps.app.goo.gl/Npo13nM8bCaaX1yz7
Tree House,Banani,Steak,4.5/5,"Tree House,banani",https://maps.app.goo.gl/8J2fJW34xK4shswB8
Fatema's Bonedi Khana,Banani,Curry,3.8/5,"Fatema's Bonedi Khana,banani",https://maps.app.goo.gl/ZMC4i76t5MD2gVRq5
Haze,Banani,Snacks,4.5/5,"Haze,banani",https://maps.app.goo.gl/pQAgygL6naDbaNj29
Juice n' Blues,Banani,Juice Corner,4.4/5,"Juice n' Blues,banani",https://maps.app.goo.gl/CghKaqaGtPqYV5DZ9
Cheong Shing Chinese Restaurant,Banani,Chinese,4.2/5,"Cheong Shing Chinese Restaurant,banani",https://maps.app.goo.gl/ofCH8ttcnrVQcuVg6
Chow-Man,Banani,Chinese,4.8/5,"Chow-Man,banani",https://maps.app.goo.gl/Dpfwurv1bumAi2qe7
Hungry Rooster,Banani,Chicken,3.9/5,"Hungry Rooster,banani",https://maps.app.goo.gl/C9YTDHJK31HUngUQA
Time Out Banani,Banani,Thai,4.3/5,"Time Out Banani,banani",https://maps.app.goo.gl/WCxfYiZaPrt6V5gAA
Shawarma House - Banani,Banani,Shawarma,4.3/5,"Shawarma House - Banani,banani",https://maps.app.goo.gl/aKz8Uet36v1mMxiu6
Afghan Grill Bd,Banani,Kebab,4.5/5,"Afghan Grill Bd,banani",https://maps.app.goo.gl/UEPRas5receNuvLE9
Crimson Cup BD,Banani,Cafe,4.5/5,"Crimson Cup BD,banani",https://maps.app.goo.gl/iVVnUpXKVZjFPtJm7
Dekchi,Banani,Biryani,4.1/5,"Dekchi,banani",https://maps.app.goo.gl/67y3edmLMCyeCE2d6
Dhaba Banani,Banani,Indian,3.9/5,"Dhaba Banani,banani",https://maps.app.goo.gl/aQY5KnFxTqekFk4Y8
VIP Shad Fuchka & Chotpoti,Banani,Chotpoti & Fuchka,4.3/5,"VIP Shad Fuchka & Chotpoti,banani",https://maps.app.goo.gl/Xdo6twebfAS58NW18
Rice & Beyond,Banani,Rice Dishes,4.2/5,"Rice & Beyond,banani",https://maps.app.goo.gl/Mn7HXyo13N7M412V7
Moolicious,Banani,Cafe,4.6/5,"Moolicious,banani",https://maps.app.goo.gl/aGc6z271pidpSoXf8
Chows,Banani,Chinese,4.3/5,"Chows,banani",https://maps.app.goo.gl/EF5Cu9SzFnLvdKqt6
Roosters Peri Peri-Banani,Banani,Snacks,4.3/5,"Roosters Peri Peri-Banani,banani",https://maps.app.goo.gl/EdKrFhUDcoQHYyui9
Tame The Dragon,Banani,Chinese,3.7/5,"Tame The Dragon,banani",https://maps.app.goo.gl/JQF3AnqqQaMsM1UH6
Hakka Dhaka - Banani,Banani,Chinese,4.2/5,"Hakka Dhaka - Banani,banani",https://maps.app.goo.gl/SEG2Ex2YD4FsMWyLA
BBQ Bangladesh - Banani,Banani,Chicken,4.3/5,"BBQ Bangladesh - Banani,banani",https://maps.app.goo.gl/JtCLieztXnPxUvZX9
Emerald Bakery & Cafe,Banani,Cafe,2.6/5,"Emerald Bakery & Cafe,banani",https://maps.app.goo.gl/aLP5gxADcBo5vo3j7
Kebabwala,Banani,Kebab,2.5/5,"Kebabwala,banani",https://maps.app.goo.gl/mXpMHHDymsvCGvQN6
Eden,Banani,Beverage,4.3/5,"Eden,banani",https://maps.app.goo.gl/55k9ianu3zreuNxU9
Soi 71 - Gulshan,Banani,Thai,4.5/5,"Soi 71 - Gulshan,banani",https://maps.app.goo.gl/jUvycVMdWcFpVLWT7
Galito's - Gulshan,Banani,Snacks,4.4/5,"Galito's - Gulshan,banani",https://maps.app.goo.gl/y3jGFs4SSXRQrWaS7
Sultan's Dine - Gulshan,Banani,Biryani,4.2/5,"Sultan's Dine - Gulshan,banani",https://maps.app.goo.gl/a2mZB5ZbFd8w2ARJ7
Kolpokar,Banani,Beverage,4.6/5,"Kolpokar,banani",https://maps.app.goo.gl/dfiNNfcWniyYWJUR6
The Great Kabab Factory - Gulshan,Banani,Kebab,4/5,"The Great Kabab Factory - Gulshan,banani",https://maps.app.goo.gl/DBjYmhnKrANAvMpB6
Kacchi Bhai - Gulshan,Banani,Biryani,4.1/5,"Kacchi Bhai - Gulshan,banani",https://maps.app.goo.gl/mTp2Zww3nygpPYVMA
Dos Locos Mexican Grill,Banani,Mexican,4.1/5,"Dos Locos Mexican Grill,banani",https://maps.app.goo.gl/NKkthtuSBJTxkizx9
